"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","473","TC-TTT-010: Difficulty can be changed","chromium","2026-08-13","passed","2026-08-13","Critical Flow - Gameplay","tic-tac-toe/TC-003-gameplay.spec.ts","",""
"","578","TC-TTT-014: History is empty for a new user","chromium","2026-08-13","passed","2026-08-13","Critical Flow - History","tic-tac-toe/TC-005-history.spec.ts","",""
"","1008","TC-TTT-002: Register validation - empty, too short, duplicate name","chromium","2026-08-13","passed","2026-08-13","Critical Flow - Register / Sign up","tic-tac-toe/TC-001-register.spec.ts","",""
"","951","TC-TTT-001: Register with valid name and land on Play view","chromium","2026-08-13","passed","2026-08-13","Critical Flow - Register / Sign up","tic-tac-toe/TC-001-register.spec.ts","",""
"","945","TC-TTT-013: Delete account returns to Register and blocks login","chromium","2026-08-13","passed","2026-08-13","Critical Flow - Profile","tic-tac-toe/TC-004-profile.spec.ts","",""
"","2283","TC-TTT-008: New Game and Reset clear the board","chromium","2026-08-13","passed","2026-08-13","Critical Flow - Gameplay","tic-tac-toe/TC-003-gameplay.spec.ts","",""
"","661","TC-TTT-016: Theme and language settings update the UI","chromium","2026-08-13","passed","2026-08-13","Critical Flow - Settings","tic-tac-toe/TC-006-settings.spec.ts","",""
"","868","TC-TTT-006: Switch between Register and Login modes","chromium","2026-08-13","passed","2026-08-13","Critical Flow - Login","tic-tac-toe/TC-002-login.spec.ts","",""
"","743","TC-TTT-005: Login fails when account does not exist","chromium","2026-08-13","passed","2026-08-13","Critical Flow - Login","tic-tac-toe/TC-002-login.spec.ts","",""
"","3624","TC-TTT-015: Completed game appears in History","chromium","2026-08-13","passed","2026-08-13","Critical Flow - History","tic-tac-toe/TC-005-history.spec.ts","",""
"","1209","TC-TTT-004: Login with existing account","chromium","2026-08-13","passed","2026-08-13","Critical Flow - Login","tic-tac-toe/TC-002-login.spec.ts","",""
"","605","TC-TTT-009: Hint highlights a recommended empty cell","chromium","2026-08-13","passed","2026-08-13","Critical Flow - Gameplay","tic-tac-toe/TC-003-gameplay.spec.ts","",""
"","839","TC-TTT-003: Logout returns user to Register (Welcome) screen","chromium","2026-08-13","passed","2026-08-13","Critical Flow - Register / Sign up","tic-tac-toe/TC-001-register.spec.ts","",""
"","799","TC-TTT-012: Profile shows stats and allows rename","chromium","2026-08-13","passed","2026-08-13","Critical Flow - Profile","tic-tac-toe/TC-004-profile.spec.ts","",""
"","1223","TC-TTT-007: Human move places X and computer responds with O","chromium","2026-08-13","passed","2026-08-13","Critical Flow - Gameplay","tic-tac-toe/TC-003-gameplay.spec.ts","",""
"","3432","TC-TTT-011: Finished game updates status to win, loss, or draw","chromium","2026-08-13","passed","2026-08-13","Critical Flow - Gameplay","tic-tac-toe/TC-003-gameplay.spec.ts","",""
